978-4-06-299879-6	DVDでできる!はじめてのソープ・カービング		加藤えり 著			講談社		2017.8	79p	21cm	DVDビデオディスク(1枚 12cm)	講談社の実用BOOK				¥1600	
978-4-06-299880-2	最少の努力でやせる食事の科学		オーガスト・ハーゲスハイマー 著			講談社		2017.8	175p	19cm						¥1300	
978-4-06-299958-8	人体のふしぎ 脳と血管の大探険!の巻		講談社 編	竹林月 漫画		講談社		2017.8	139p	22cm	DVDビデオディスク(1枚 12cm)	講談社の動く学習漫画MOVE COMICS				¥1200	
978-4-06-344691-3	オールウルトラヒーローベスト大図鑑47					講談社		2017.8	25p	27cm		講談社のテレビ絵本 1691				¥580	
978-4-06-365039-6	レベル1だけどユニークスキルで最強です		三木なずな 著	すばち 画		講談社		2017.9	349p	19cm		Kラノベブックス				¥1200	
978-4-06-365040-2	アラフォー営業マン、異世界に起つ!	女神パワーで人生二度目の成り上がり	澄守彩 著	いちぢるし 画		講談社		2017.9	314p	19cm		Kラノベブックス				¥1200	
978-4-06-366318-1	1日5分ですうじがかけるほん1から100までたす・ひく	2さい〜6さい対象	あきやまかぜさぶろう さく		決定版	講談社		2017.8	80p	21×30cm		おともだちドリルブック 17				¥890	
978-4-06-366654-0	Theトラック	最新大型トラック完全バイブル	講談社ビーシー 編集			講談社ビーシー	講談社	2017.8	97p	30cm						¥1200	
978-4-06-379520-2	ファーストブックディズニー 2017年Vol.2					講談社		2017.8	101p	26cm		講談社MOOK			ゆめとぼうけんがいっぱい!	¥741	
978-4-06-381613-6	パラミリタリ・カンパニー 2	Paramilitary Company	榊一郎 著			講談社		2017.9	361p	15cm		講談社ラノベ文庫 さ-1-2-2	萌える侵略者			¥680	
978-4-06-381614-3	霧ノ宮先輩は謎が解けない		御守いちる 著			講談社		2017.9	303p	15cm		講談社ラノベ文庫 み-9-2-1				¥620	
978-4-06-381621-1	こんな僕が荒川さんに告白ろうなんて、おこがましくてできません。		清水苺 著			講談社		2017.9	327p	15cm		講談社ラノベ文庫 し-4-3-1				¥640	
978-4-06-381622-8	女騎士これくしょん	ガチャで出た女騎士と同居することになった。	三門鉄狼 著			講談社		2017.9	261p	15cm		講談社ラノベ文庫 み-3-4-1				¥600	
978-4-06-388972-7	キラキラキラン!ドレスシールえほん					講談社		2017.8	9p	21×22cm		講談社おともだちシールブック 72				¥740	
978-4-06-389099-0	のりものあいうえおずかん					講談社		2017.8	21p	17×21cm		げんきの絵本				¥620	
978-4-06-389316-8	ELLE	エル・ジャポン10月号特別版 パリ特集				ハースト婦人画報社	講談社	2017発売	410p	28cm		FG MOOK				¥722	
978-4-06-393276-8	妖怪アパートの幽雅な日常公式コミックガイド		深山和香 漫画	香月日輪 原作		講談社		2017.8				KCDX				¥1111	
978-4-06-509208-8	あいどるスマッシュ! 01		TNSK 著			Cygames	講談社	2017.8	194p	19cm		サイコミ				¥570	
978-4-06-509209-5	ブラザーフッド 1	BROTHERHOOD	村上よしゆき 著			Cygames	講談社	2017.8	166p	19cm		サイコミ				¥560	
